Multiplicity,Summarized Transverse Momentum,Spectators Energy Deposition,Multiplicity of soft particles,Multiplicity of hard particles,Impact Parameter
27,9.70254,226.73,6,4,2
4,2.20369,255.365,0,1,2
27,10.6595,192.765,9,4,2
11,3.94413,238.918,2,1,2
2,1.14614,260.981,1,0,2
64,26.7316,106.208,11,9,1
46,22.5965,140.644,10,6,2
19,8.24731,210.647,3,2,2
37,12.6478,110.59,11,7,1
59,23.848,121.287,11,10,1
62,28.2552,132.847,10,13,1
90,40.1223,98.3681,21,20,1
8,2.2809,246.853,4,1,2
39,17.9802,162.907,9,7,1
31,11.6135,139.604,11,7,2
10,3.08441,249.386,5,3,2
16,6.06817,233.103,4,6,2
38,22.6938,167.861,10,8,1
11,5.93431,247.105,1,2,2
59,22.7879,144.86,15,14,1
98,39.4852,60.1935,29,21,0
6,3.13143,265.204,2,2,2
77,34.7152,103.723,16,13,1
88,36.5763,60.8928,21,16,0
35,14.512,167.4,8,7,2
32,15.4666,146.262,9,8,2
5,3.16155,254.207,0,1,2
72,36.1965,59.7271,15,11,1
32,11.4141,205.669,11,5,2
4,1.04888,255.927,2,1,2
32,13.7619,192.275,7,4,2
54,24.5253,158.309,13,14,1
23,6.40774,240.239,14,2,2
44,17.8496,195.836,13,8,2
68,29.6606,111.872,14,15,1
13,3.55935,227.619,6,3,2
42,17.1706,185.487,8,11,2
44,21.5721,182.082,7,7,2
8,3.87145,232.195,1,3,2
8,2.72267,232.426,3,0,2
8,3.36053,210.476,2,1,2
57,25.2251,108.846,8,11,1
13,6.43708,183.049,6,3,2
52,21.0528,178.283,15,11,1
10,6.7937,204.924,1,3,2
11,5.52985,228.584,4,2,2
26,12.1055,191.257,7,5,1
35,16.1903,179.81,9,6,2
69,29.1537,128.765,15,12,1
23,10.42,177.837,6,3,2
4,1.83847,254.34,0,1,2
48,20.8578,183.504,11,6,2
5,1.51983,240.089,2,1,2
20,5.67093,222.593,5,4,2
9,4.11533,258.806,2,5,2
2,0.803063,264.946,1,0,2
48,20.4121,124.647,11,10,1
1,0.217066,251.888,0,0,2
1,0.244927,267.687,0,0,2
23,8.54159,168.138,5,6,2
6,4.46206,265.116,1,1,2
46,20.0739,161.477,14,14,1
40,13.8181,184.085,11,7,1
5,1.80538,255.683,1,1,2
29,13.0327,182.846,8,4,2
31,12.3348,197.835,7,4,2
86,39.1796,88.2153,16,20,0
9,4.56202,258.333,3,0,2
3,0.637906,263.504,1,0,2
35,18.3934,174.597,7,7,2
28,12.0557,190.222,6,6,2
57,25.217,109.688,12,11,1
31,13.9659,214.175,6,6,2
3,1.03374,249.622,2,0,2
61,23.3424,116.551,17,13,1
39,13.4379,179.545,10,5,2
7,2.34829,259.318,3,0,2
66,25.7767,138.436,18,19,1
14,5.57602,240.942,3,3,2
114,50.8233,43.25,30,23,0
64,26.2936,109.076,18,16,1
63,26.8801,122.365,18,13,1
37,14.2938,147.871,11,9,1
12,5.02931,253.928,3,2,2
67,26.598,81.3613,15,18,1
86,34.1313,46.0172,25,22,0
14,5.61046,245.857,6,5,2
91,40.837,97.0834,23,19,1
6,2.27039,216.307,1,4,2
59,26.1449,134.796,13,7,1
35,12.8225,215.769,10,9,2
4,1.93554,249.302,0,1,2
85,35.809,71.3126,14,21,1
12,5.79619,247.098,2,3,2
99,36.3774,87.5622,29,16,0
27,11.7847,210.403,6,5,2
56,26.6202,150.65,8,12,1
57,20.9934,150.448,14,15,1
31,9.42919,204.346,8,7,2
54,21.0719,170.463,14,12,1
26,10.408,174.988,6,6,2
93,41.8507,77.2863,20,22,1
99,42.5025,89.8663,28,17,1
58,24.5824,117.573,7,12,1
25,11.9898,218.144,4,5,2
88,41.7336,90.2593,15,18,1
7,2.95857,246.653,2,2,2
40,16.8661,191.28,8,9,2
13,4.30789,237.317,1,2,2
131,58.0094,34.9876,25,30,0
31,11.8779,183.344,10,7,2
8,3.85287,241.354,2,1,2
25,8.81656,195.458,4,0,2
23,9.4065,212.847,3,5,2
5,2.54329,257.669,0,3,2
21,7.94101,219.149,3,4,2
26,10.5481,185.394,9,7,2
40,13.6415,200.997,13,8,2
80,31.5659,99.0336,22,16,1
51,22.1296,105.356,13,8,1
116,48.6298,47.1459,27,24,0
34,13.8806,200.539,7,10,2
86,34.2229,86.506,24,13,0
2,0.963446,267.989,0,2,2
26,9.02262,203.49,5,4,2
32,13.725,209.548,5,8,2
24,10.1367,191.747,5,4,2
93,41.8419,56.9164,23,17,0
27,11.0837,224.243,5,8,2
17,6.52688,234.282,6,1,2
28,11.0256,178.823,7,3,2
34,14.038,192.369,10,4,1
41,23.931,166.832,5,9,2
18,5.20529,234.23,6,2,2
19,7.99318,226.266,3,8,2
21,11.5093,210.142,2,7,2
80,33.0074,73.2351,18,16,0
26,11.6889,148.159,7,7,1
16,5.74939,204.765,4,4,2
13,7.31995,245.416,1,2,2
4,1.86373,235.102,1,1,2
46,23.0133,62.9639,15,7,1
15,6.29034,146.958,3,3,2
12,5.0161,243.626,1,5,2
